"The Eagle and The Bear","BS de Résistance","0000-00-00",,
"Hit \'Em Hard","BS de Résistance","0000-00-00",,
"Putin Things in Order","BS de Résistance","0000-00-00",,
"What\'s in It for Me","BS de Résistance","0000-00-00",,
"Mr.Trump\'s Wild Ride","BS de Résistance","0000-00-00",,
"I\'m Ready for Boring","BS de Résistance","0000-00-00",,
"Doctor Donald","BS de Résistance","0000-00-00",,
"God Is a Black Gay Woman","Jess Feeney","2019-10-01",,
"Running Sucks","Kate Hart","0000-00-00",,
"The Luna Moth Song","Noam Osband & Rena Hundert","2019-10-01",,
