"God Hates Comedy Musicians","Cirque du So What","0000-00-00",,
"TILE! shirt","Cirque du So What","2010-05-01",,
"Mythbusters: The Cat Came Back","Cirque du So What","0000-00-00",,
"StoogeFighter","Cirque du So What","0000-00-00",,
"You Need Prozac Charlie Brown","Cirque du So What","0000-00-00",,
"Deathworks SKG","Cirque du So What","0000-00-00",,
"A Fucking Room","Cirque du So What","0000-00-00",,
"Country Jam","Cirque du So What","0000-00-00",,
"The Bible An Audio Book","Cirque du So What","0000-00-00",,
"Late Night Phone Call","Cirque du So What","0000-00-00",,
"Why I No Longer Listen To New York Hip Hop Radio","Cirque du So What","0000-00-00",,
"At the Home Center On Carson Ave","Cirque du So What","0000-00-00",,
"At the Seaside Hotel On Carson Ave","Cirque du So What","0000-00-00",,
"At the Strip Club On Carson Ave","Cirque du So What","0000-00-00",,
"At the Wendy\'s On Carson Ave","Cirque du So What","0000-00-00",,
"Brought To You By the Children\'s Television Workshop","Cirque du So What","0000-00-00",,
"CSI: Dora","Cirque du So What","0000-00-00",,
"Dumb Fanfic Awards","Cirque du So What","0000-00-00",,
"Escargot Flambé A La Mode","Cirque du So What","0000-00-00",,
"Gilbert\'s Basket of Shoes","Cirque du So What","0000-00-00",,
"Gilbert\'s Bucket of Roses","Cirque du So What","0000-00-00",,
"Gilbert\'s Thing of Stuff","Cirque du So What","0000-00-00",,
"Happy Fanfare","Cirque du So What","0000-00-00",,
"He\'s Good","Cirque du So What","0000-00-00",,
"Luke Ski Cereal","Cirque du So What","0000-00-00",,
"Meanwhile...","Cirque du So What","0000-00-00",,
"Mob Internship Program","Cirque du So What","0000-00-00",,
"Name Pitch Meeting","Cirque du So What","0000-00-00",,
"Silent Track","Cirque du So What","0000-00-00",,
"T&A VHS Rental-Rama","Cirque du So What","0000-00-00",,
"The Payoff","Cirque du So What","0000-00-00",,
"The Track You Will Listen To The Most On This Disc","Cirque du So What","0000-00-00",,
